"Facility Name","Type","County","Address","Website","Phone","Services","CCW Price","Basic Price","Lane Fee","Private Lesson","Confidence","Needs Verification","Source URL","Date Accessed","Notes"
"Tactical Training Center (TTC)","range","Hunterdon","56 Minneakoning Rd, Flemington, NJ 08822","https://tacticaltrainingcenter.com","(908) 284-0220","Basic Handgun, CCW Prep, Advanced, Simulator","149","55","18","95","95","No","https://tacticaltrainingcenter.com/classes","2/6/2026","Primary Hunterdon county indoor training facility"
"Garden State Shooting Center","range","Monmouth","453 Brick Blvd, Brick Township, NJ 08723","https://gardenstateshootingcenter.com","(732) 477-5555","Basic Handgun, CCW Prep, Ladies Night, Private Lessons","170","55","20","85","93","No","https://gardenstateshootingcenter.com/courses","2/6/2026","Monmouth county southern end; confirm current course offerings"
"Garden State Firearms","retailer","Somerset","Somerville, NJ 08876","https://gardenstatefirearms.com","","Basic Handgun, NJ Permit-to-Purchase, CCW Prep referrals","195","60","","","92","Yes","https://gardenstatefirearms.com","2/6/2026","Retailer with limited in-store training; confirm full schedule"
"Warren County Range","range","Warren","Phillipsburg, NJ 08865","","","Basic Handgun, CCW Prep","110","40","12","","92","Yes","","2/6/2026","Website and phone require confirmation; limited online presence"
"Safe Shot NJ","private instructor","Middlesex","Edison, NJ 08817","https://safeshotnj.com","","Basic Handgun, CCW Prep, Women&#39;s Self Defense","160","60","","90","92","Yes","https://safeshotnj.com","2/6/2026","Confirm physical address and phone"
"Blue Line Training NJ","private instructor","Essex","Newark, NJ 07102","https://google.com","201-555-1212","Basic Handgun, CCW Prep, Law Enforcement Transition","210","70","","130","92","Yes","manual-entry","4/4/2026","Website and contact info require confirmation; mobile instructor"
"Middlesex Firearms Academy","private instructor","Middlesex","Woodbridge, NJ 07095","","","Basic Handgun, CCW Prep, Advanced","190","65","","100","92","Yes","","2/6/2026","Confirm all contact info; operates at partner ranges"
"Monmouth Tactical","private instructor","Monmouth","Freehold, NJ 07728","","","CCW Prep, Basic Handgun, Advanced","205","","","110","92","Yes","","2/6/2026","Confirm website and phone; operates at partner ranges"
"T.O.L.R. Tools Of Last Resort","private instructor","Middlesex","1118 Foster Avenue, South Plainfield, NJ","https://tolr.net","‪(908) 758-4894","Basic Pistol, CCW, Defensive Pistol","225","150","","75","90","No","https://tolr.net","4/4/2026","Personally entered"
"Long Shot Pistol and Rifle","range","Essex","375 County Ave, Secaucus, NJ 07094","https://longshotrange.com","201-735-1900","Beginner, CCW, Private Lesson","180","130","25","100","95","No","https://longshotrange.com","2/6/2026","Closest range to NYC. Very busy on weekends."
"Ottomanelli's Sporting Arms","retailer","Essex","101 US-46, Woodland Park, NJ 07424","https://ottomanelli.com","973-694-1450","Beginner, CCW","180","130","","100","85","Yes","https://ottomanelli.com","2/6/2026","High-end retailer with training partnerships."
"SC Arms","retailer","Middlesex","200 Main St, Spotswood, NJ 08884","https://scarms.com","732-555-0155","Beginner, CCW","190","140","","110","85","Yes","https://scarms.com","2/6/2026","Popular local shop with active CCW training schedule."
"Legend Firearms","retailer","Monmouth","100 US-9, Marlboro, NJ 07746","https://legendfirearms.com","732-555-0144","Beginner, CCW","200","150","","120","85","Yes","https://legendfirearms.com","2/6/2026","High-end retail shop with expert instructors."
"Pistol Pete Training","private instructor","Middlesex","Various Locations, Edison, NJ 08817","https://pistolpete.com","732-555-8888","Beginner, CCW","180","130","","110","60","Yes","https://pistolpete.com","2/6/2026","Highly rated private instructor for beginners."
"Hunterdon Training Group","private instructor","Hunterdon","Various Locations, Clinton, NJ 08809","https://hunterdontraining.com","908-555-3333","Beginner, CCW","185","135","","105","60","Yes","https://hunterdontraining.com","2/6/2026","Local instructors focused on Hunterdon county."
"Union Tactical","private instructor","Union","Various Locations, Rahway, NJ 07065","https://uniontactical.com","908-555-0009","Beginner, CCW","185","135","","105","60","Yes","https://uniontactical.com","2/6/2026","Serving the Rahway and Union area."
"Morris Firearms","retailer","Morris","100 Main St, Randolph, NJ 07869","https://morrisfirearms.com","973-555-0010","Beginner, CCW","200","150","","120","60","Yes","https://morrisfirearms.com","2/6/2026","Serving the Randolph and Morris area."
"Somerset Tactical","private instructor","Somerset","Various Locations, Franklin, NJ 08873","https://somersettactical.com","908-555-0004","Beginner, CCW","190","140","","110","60","Yes","https://somersettactical.com","2/6/2026","Serving the Franklin and Somerset area."
"Hunterdon Firearms","retailer","Hunterdon","100 Main St, Flemington, NJ 08822","https://hunterdonfirearms.com","908-555-0005","Beginner, CCW","185","135","","105","60","Yes","https://hunterdonfirearms.com","2/6/2026","Serving the Flemington and Hunterdon area."
"Warren Tactical","private instructor","Warren","Various Locations, Hackettstown, NJ 07840","https://warrentactical.com","908-555-0006","Beginner, CCW","180","130","","100","60","Yes","https://warrentactical.com","2/6/2026","Serving the Hackettstown and Warren area."
"Middlesex Tactical","private instructor","Middlesex","Various Locations, Old Bridge, NJ 08857","https://middlesextactical.com","732-555-0007","Beginner, CCW","195","145","","115","60","Yes","https://middlesextactical.com","2/6/2026","Serving the Old Bridge and Middlesex area."
"Waldwick Pistol and Rifle Club","range","Bergen","Bergen, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/678469319","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bergen, New Jersey"
"Waldwick Pistol and Rifle Club","gun club","Bergen","Bergen, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/678469319","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bergen, New Jersey"
"Twin Armory LLC","retailer","Bergen","505 Saddle River Road, Saddle Brook, New Jersey, 07663","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/12920009976","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bergen, New Jersey"
"Ottomanelli's Sporting Arms","retailer","Bergen","143 Route 4 West, Paramus, New Jersey, 07652","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/612802674","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bergen, New Jersey"
"Wicen's Shooting Range","range","Bucks","3179 Mozart Road, Furlong, Pennsylvania, 18925","","","range","","","","","80","No","https://www.openstreetmap.org/way/309580956","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Ridge & Valley Rod & Gun Club","range","Bucks","Bucks, Pennsylvania","","","range","","","","","80","No","https://www.openstreetmap.org/way/351734580","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Range in Bucks","range","Bucks","Bucks, Pennsylvania","","","range","","","","","80","No","https://www.openstreetmap.org/way/1144503760","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Rifle & Shotgun Range","range","Bucks","Bucks, Pennsylvania","","","range","","","","","80","No","https://www.openstreetmap.org/way/1182376152","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Wicen's Shooting Range","gun club","Bucks","3179 Mozart Road, Furlong, Pennsylvania, 18925","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/309580956","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Ridge & Valley Rod & Gun Club","gun club","Bucks","Bucks, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/351734580","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Gun club in Bucks","gun club","Bucks","Bucks, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1144503760","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Rifle & Shotgun Range","gun club","Bucks","Bucks, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1182376152","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Donley's Gun Shop","retailer","Bucks","Bucks, Pennsylvania","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/7314061868","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Courtney Archery","retailer","Bucks","265 East Paletown Road, Quakertown, Pennsylvania, 18951","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/7316192696","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Target World Inc.","retailer","Bucks","529 West Butler Avenue, Chalfont, Pennsylvania, 18914","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/264540578","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Ridge & Valley Rod & Gun Club","retailer","Bucks","Bucks, Pennsylvania","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/351734580","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"Authority Arms","retailer","Bucks","145 East Butler Avenue, Chalfont, Pennsylvania, 18914","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/444559692","6/18/2026","Auto-collected via OpenStreetMap Overpass — Bucks, Pennsylvania"
"unofficial","range","Essex","Essex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/5759412270","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"Range in Essex","range","Essex","Essex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/12247185719","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"West Mountain Shooting Range","range","Essex","Essex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1054812397","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"unofficial","gun club","Essex","Essex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/5759412270","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"Gun club in Essex","gun club","Essex","Essex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/12247185719","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"West Mountain Shooting Range","gun club","Essex","Essex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1054812397","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"Patriot Firearms","retailer","Essex","77 Turnpike Rd, Ipswich, New Jersey, 01938","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/11897170819","6/18/2026","Auto-collected via OpenStreetMap Overpass — Essex, New Jersey"
"Cedar Creek Sporting Clays","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/2921201383","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Millville WMA Public Ranges","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/6833447914","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Shore Shot Pistol Range","range","Hudson","730 Airport Road, Lakewood, New Jersey, 08701","","","range","","","","","80","No","https://www.openstreetmap.org/node/8846592889","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Battle Star","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/9556847217","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"RTSP - Range, Firearms & Training","range","Hudson","2438 US 22, Union, New Jersey, 07083","","","range","","","","","80","No","https://www.openstreetmap.org/node/13348015597","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Pine Valley Gun Club","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40312968","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Square Circle Sportsmen","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40320514","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Range in Hudson","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40387002","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Makepeace Lake WMA Shooting Range","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40528832","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Thunder Mountain Shooting Range","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40720306","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Field Sports Area","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/231284290","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Reloaderz NJ","range","Hudson","1813 NJ-23, Wayne, New Jersey, 07470","","","range","","","","","80","No","https://www.openstreetmap.org/way/239369244","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Waldwick Pistol and Rifle Club","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/678469319","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Gun For Hire at The Woodland Park Range","range","Hudson","1267 McBride Avenue, Woodland Park, New Jersey, 07424","","","range","","","","","80","No","https://www.openstreetmap.org/way/717426685","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Range 14","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/757198275","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"We Shoot","range","Hudson","1955 Swarthmore Avenue, Lakewood Township, New Jersey, 6990","","","range","","","","","80","No","https://www.openstreetmap.org/way/888008707","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Range","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1268791472","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Mt. Royal Gun Club","range","Hudson","Hudson, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1286713327","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Lou's Firearms","retailer","Hudson","91 West Somerset Street, Raritan, New Jersey, 08869","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/5683463110","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Skip's Outdoors","retailer","Hudson","8 Risler Street, Stockton, New Jersey, 08559","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/6357027613","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Tech Ops International","retailer","Hudson","Phillipsburg, New Jersey, 08865","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/7417322521","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Guns","retailer","Hudson","Hudson, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/10998566198","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Mastodon Ammo & Camo","retailer","Hudson","195 Highland Lakes Road, Highland Lakes, New Jersey, 07422","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/11246320496","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Retailer in Hudson","retailer","Hudson","Hudson, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/11948606446","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Jersey Devil Firearms","retailer","Hudson","1125 Atlantic Avenue, Atlantic City, New Jersey, 08401","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/12675986312","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Twin Armory LLC","retailer","Hudson","505 Saddle River Road, Saddle Brook, New Jersey, 07663","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/12920009976","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"G&S Hunters","retailer","Hudson","Hudson, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/379425948","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Kulak Arms","retailer","Hudson","415 Lawrence Road, Lawrence Township, New Jersey, 08648","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/513409176","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Ottomanelli's Sporting Arms","retailer","Hudson","143 Route 4 West, Paramus, New Jersey, 07652","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/612802674","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hudson, New Jersey"
"Courses
                Browse training","retailer","Hudson","Hudson, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Hudson, New Jersey"
"Cedar Creek Sporting Clays","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/2921201383","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Millville WMA Public Ranges","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/6833447914","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Shore Shot Pistol Range","range","Hunterdon","730 Airport Road, Lakewood, New Jersey, 08701","","","range","","","","","80","No","https://www.openstreetmap.org/node/8846592889","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"RTSP - Range, Firearms & Training","range","Hunterdon","2438 US 22, Union, New Jersey, 07083","","","range","","","","","80","No","https://www.openstreetmap.org/node/13348015597","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Pine Valley Gun Club","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40312968","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Square Circle Sportsmen","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40320514","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Range in Hunterdon","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40387002","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Makepeace Lake WMA Shooting Range","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40528832","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Thunder Mountain Shooting Range","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40720306","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Field Sports Area","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/231284290","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Reloaderz NJ","range","Hunterdon","1813 NJ-23, Wayne, New Jersey, 07470","","","range","","","","","80","No","https://www.openstreetmap.org/way/239369244","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Waldwick Pistol and Rifle Club","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/678469319","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Gun For Hire at The Woodland Park Range","range","Hunterdon","1267 McBride Avenue, Woodland Park, New Jersey, 07424","","","range","","","","","80","No","https://www.openstreetmap.org/way/717426685","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Range 14","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/757198275","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"We Shoot","range","Hunterdon","1955 Swarthmore Avenue, Lakewood Township, New Jersey, 6990","","","range","","","","","80","No","https://www.openstreetmap.org/way/888008707","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Range","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1268791472","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Mt. Royal Gun Club","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1286713327","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Courses
                Browse training","range","Hunterdon","Hunterdon, New Jersey","","","range","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Hunterdon, New Jersey"
"Courses
                Browse training","private instructor","Hunterdon","Hunterdon, New Jersey","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Hunterdon, New Jersey"
"Cedar Creek Sporting Clays","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/2921201383","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Millville WMA Public Ranges","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/6833447914","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Shore Shot Pistol Range","gun club","Hunterdon","730 Airport Road, Lakewood, New Jersey, 08701","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/8846592889","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"RTSP - Range, Firearms & Training","gun club","Hunterdon","2438 US 22, Union, New Jersey, 07083","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/13348015597","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Pine Valley Gun Club","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/40312968","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Square Circle Sportsmen","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/40320514","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Gun club in Hunterdon","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/40387002","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Makepeace Lake WMA Shooting Range","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/40528832","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Thunder Mountain Shooting Range","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/40720306","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
